id_client,nom_client,email_contact,telephone_contact,type_client,siret_entreprise,id_forfait_actuel,nom_forfait_actuel,statut_contrat,score_nps_satisfaction,date_souscription,arpu_mensuel_actuel_eur,arpu_potentiel_5g_max_eur,gain_arpu_potentiel_eur,consommation_donnees_mensuelle_gb,quota_donnees_mensuel_gb,taux_utilisation_quota_mars_pct,frais_hors_forfait_eur,commune,code_departement,nom_region,nb_micro_coupures_reseau_30j,score_risque_churn_pct,score_propension_upsell_5g_pct
CLI-00001,Airbus Cyber #1,contact.1@company-b2b.fr,+33675728241,B2B_PROFESSIONNEL,45076506862,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-08-25,59.99,74.99,15.0,146.4,150.0,97.6,71.44,Rennes,35 - Ille-et-Vilaine,Bretagne,2,23.0,95.0
CLI-00002,Stellantis R&D #2,contact.2@company-b2b.fr,+33694300687,B2B_PROFESSIONNEL,45059474346,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-04-03,59.99,74.99,15.0,178.1,150.0,118.7,57.22,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,1,39.0,95.0
CLI-00003,Stellantis R&D #3,contact.3@company-b2b.fr,+33636265000,B2B_PROFESSIONNEL,45062016744,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2024-01-28,59.99,74.99,15.0,176.8,150.0,117.9,48.66,Strasbourg,67 - Bas-Rhin,Grand Est,6,59.0,95.0
CLI-00004,Atos Worldline #4,contact.4@company-b2b.fr,+33612635264,B2B_PROFESSIONNEL,45089375131,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-09-30,59.99,74.99,15.0,170.7,150.0,113.8,91.67,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,2,43.0,95.0
CLI-00005,Capgemini Engineering #5,contact.5@company-b2b.fr,+33693932154,B2B_PROFESSIONNEL,45054833308,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-04-01,59.99,74.99,15.0,136.7,150.0,91.1,30.02,Montpellier,34 - Hérault,Occitanie,7,43.0,95.0
CLI-00006,Michelin Digital #6,contact.6@company-b2b.fr,+33647455445,B2B_PROFESSIONNEL,45082795154,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2024-06-07,59.99,74.99,15.0,165.3,150.0,110.2,33.1,Paris,75 - Paris,Île-de-France,11,79.0,95.0
CLI-00007,Capgemini Engineering #7,contact.7@company-b2b.fr,+33665511128,B2B_PROFESSIONNEL,45091229244,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-03-18,59.99,74.99,15.0,163.7,150.0,109.1,59.76,Rennes,35 - Ille-et-Vilaine,Bretagne,2,43.0,95.0
CLI-00008,Airbus Cyber #8,contact.8@company-b2b.fr,+33623783846,B2B_PROFESSIONNEL,45020779427,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2024-08-11,59.99,74.99,15.0,179.6,150.0,119.7,32.81,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,1,39.0,95.0
CLI-00009,Atos Worldline #9,contact.9@company-b2b.fr,+33629717035,B2B_PROFESSIONNEL,45040883777,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-08-27,59.99,74.99,15.0,181.7,150.0,121.1,47.23,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,1,39.0,95.0
CLI-00010,Sanofi Pharma #10,contact.10@company-b2b.fr,+33692085370,B2B_PROFESSIONNEL,45072357582,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2024-05-08,59.99,74.99,15.0,156.0,150.0,104.0,19.76,Montpellier,34 - Hérault,Occitanie,17,98.5,95.0
CLI-00011,Michelin Digital #11,contact.11@company-b2b.fr,+33670480370,B2B_PROFESSIONNEL,45037118288,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-12-11,59.99,74.99,15.0,141.2,150.0,94.1,86.51,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,3,27.0,95.0
CLI-00012,Capgemini Engineering #12,contact.12@company-b2b.fr,+33690903050,B2B_PROFESSIONNEL,45013703794,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-08-29,59.99,74.99,15.0,173.2,150.0,115.5,80.35,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,8,67.0,95.0
CLI-00013,Atos Worldline #13,contact.13@company-b2b.fr,+33665140960,B2B_PROFESSIONNEL,45071235592,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2023-11-09,59.99,74.99,15.0,169.3,150.0,112.9,22.68,Nantes,44 - Loire-Atlantique,Pays de la Loire,3,47.0,95.0
CLI-00014,Thales Optronics #14,contact.14@company-b2b.fr,+33616045861,B2B_PROFESSIONNEL,45052094133,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-06-14,59.99,74.99,15.0,162.6,150.0,108.4,27.51,Rennes,35 - Ille-et-Vilaine,Bretagne,2,43.0,95.0
CLI-00015,Atos Worldline #15,contact.15@company-b2b.fr,+33662099728,B2B_PROFESSIONNEL,45041815118,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2024-01-26,59.99,74.99,15.0,125.0,150.0,83.3,63.41,Lille,59 - Nord,Hauts-de-France,3,27.0,95.0
CLI-00016,Capgemini Engineering #16,contact.16@company-b2b.fr,+33673894505,B2B_PROFESSIONNEL,45080977796,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-08-02,59.99,74.99,15.0,128.4,150.0,85.6,63.06,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,1,19.0,95.0
CLI-00017,Atos Worldline #17,contact.17@company-b2b.fr,+33679058174,B2B_PROFESSIONNEL,45048869047,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2024-04-15,59.99,74.99,15.0,145.8,150.0,97.2,53.7,Paris,75 - Paris,Île-de-France,0,15.0,95.0
CLI-00018,Thales Optronics #18,contact.18@company-b2b.fr,+33662111571,B2B_PROFESSIONNEL,45049571372,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-10-03,59.99,74.99,15.0,184.7,150.0,123.1,78.98,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,21,98.5,95.0
CLI-00019,Airbus Cyber #19,contact.19@company-b2b.fr,+33641976608,B2B_PROFESSIONNEL,45034688111,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-04-23,59.99,74.99,15.0,179.1,150.0,119.4,41.64,Strasbourg,67 - Bas-Rhin,Grand Est,0,35.0,95.0
CLI-00020,Atos Worldline #20,contact.20@company-b2b.fr,+33634847106,B2B_PROFESSIONNEL,45027851064,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-05-03,59.99,74.99,15.0,130.5,150.0,87.0,26.53,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,1,19.0,95.0
CLI-00021,TotalEnergies IT #21,contact.21@company-b2b.fr,+33674047734,B2B_PROFESSIONNEL,45035452343,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2023-03-20,59.99,74.99,15.0,124.3,150.0,82.9,28.81,Annecy,74 - Haute-Savoie,Auvergne-Rhône-Alpes,17,83.0,95.0
CLI-00022,Stellantis R&D #22,contact.22@company-b2b.fr,+33617900664,B2B_PROFESSIONNEL,45035099908,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-02-03,59.99,74.99,15.0,127.2,150.0,84.8,35.86,Rennes,35 - Ille-et-Vilaine,Bretagne,2,23.0,95.0
CLI-00023,Michelin Digital #23,contact.23@company-b2b.fr,+33660219533,B2B_PROFESSIONNEL,45078045555,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2024-03-24,59.99,74.99,15.0,181.8,150.0,121.2,59.73,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,19,98.5,95.0
CLI-00024,Stellantis R&D #24,contact.24@company-b2b.fr,+33662182555,B2B_PROFESSIONNEL,45094740446,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-04-25,59.99,74.99,15.0,156.9,150.0,104.6,48.48,Paris,75 - Paris,Île-de-France,2,43.0,95.0
CLI-00025,Dassault Systems #25,contact.25@company-b2b.fr,+33660531961,B2B_PROFESSIONNEL,45010201108,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-11-09,59.99,74.99,15.0,145.7,150.0,97.1,85.96,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,2,23.0,95.0
CLI-00026,OVHcloud #26,contact.26@company-b2b.fr,+33612738173,B2B_PROFESSIONNEL,45038924619,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-06-15,59.99,74.99,15.0,139.5,150.0,93.0,33.07,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,0,15.0,95.0
CLI-00027,OVHcloud #27,contact.27@company-b2b.fr,+33618900817,B2B_PROFESSIONNEL,45079696969,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2023-10-30,59.99,74.99,15.0,126.2,150.0,84.1,28.37,Montpellier,34 - Hérault,Occitanie,16,79.0,95.0
CLI-00028,TotalEnergies IT #28,contact.28@company-b2b.fr,+33642469096,B2B_PROFESSIONNEL,45076526470,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-12-29,59.99,74.99,15.0,123.9,150.0,82.6,87.77,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,2,23.0,95.0
CLI-00029,Thales Optronics #29,contact.29@company-b2b.fr,+33675938411,B2B_PROFESSIONNEL,45091609978,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2023-05-18,59.99,74.99,15.0,130.5,150.0,87.0,61.21,Strasbourg,67 - Bas-Rhin,Grand Est,1,19.0,95.0
CLI-00030,Thales Optronics #30,contact.30@company-b2b.fr,+33610356641,B2B_PROFESSIONNEL,45059477281,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2024-02-21,59.99,74.99,15.0,161.1,150.0,107.4,54.55,Bordeaux,33 - Gironde,Nouvelle-Aquitaine,0,35.0,95.0
CLI-00031,Thales Optronics #31,contact.31@company-b2b.fr,+33672041411,B2B_PROFESSIONNEL,45027747862,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2023-10-13,59.99,74.99,15.0,133.9,150.0,89.3,28.18,Rennes,35 - Ille-et-Vilaine,Bretagne,11,59.0,95.0
CLI-00032,Sanofi Pharma #32,contact.32@company-b2b.fr,+33633490770,B2B_PROFESSIONNEL,45066333260,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-07-30,59.99,74.99,15.0,131.7,150.0,87.8,20.0,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,3,27.0,95.0
CLI-00033,Thales Optronics #33,contact.33@company-b2b.fr,+33660008316,B2B_PROFESSIONNEL,45043829820,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2023-07-24,59.99,74.99,15.0,161.1,150.0,107.4,38.93,Grenoble,38 - Isère,Auvergne-Rhône-Alpes,2,43.0,95.0
CLI-00034,Stellantis R&D #34,contact.34@company-b2b.fr,+33613186098,B2B_PROFESSIONNEL,45020706404,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,8,2024-03-21,59.99,74.99,15.0,151.8,150.0,101.2,76.42,Lyon,69 - Rhône,Auvergne-Rhône-Alpes,18,98.5,95.0
CLI-00035,Airbus Cyber #35,contact.35@company-b2b.fr,+33652579061,B2B_PROFESSIONNEL,45059890414,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,9,2023-11-25,59.99,74.99,15.0,145.7,150.0,97.1,77.59,Nice,06 - Alpes-Maritimes,Provence-Alpes-Côte d'Azur,3,27.0,95.0
CLI-00036,Airbus Cyber #36,contact.36@company-b2b.fr,+33618400690,B2B_PROFESSIONNEL,45071977906,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-03-01,59.99,74.99,15.0,174.0,150.0,116.0,73.82,Lille,59 - Nord,Hauts-de-France,1,39.0,95.0
CLI-00037,Stellantis R&D #37,contact.37@company-b2b.fr,+33649133475,B2B_PROFESSIONNEL,45099972640,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2023-10-31,59.99,74.99,15.0,126.9,150.0,84.6,41.3,Marseille,13 - Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,0,15.0,95.0
CLI-00038,Sanofi Pharma #38,contact.38@company-b2b.fr,+33626939068,B2B_PROFESSIONNEL,45084750909,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,7,2024-07-20,59.99,74.99,15.0,171.4,150.0,114.3,58.06,Toulouse,31 - Haute-Garonne,Occitanie,2,43.0,95.0
CLI-00039,Capgemini Engineering #39,contact.39@company-b2b.fr,+33651393511,B2B_PROFESSIONNEL,45052058534,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,6,2024-07-11,59.99,74.99,15.0,148.1,150.0,98.7,83.73,Paris,75 - Paris,Île-de-France,9,51.0,95.0
CLI-00040,Stellantis R&D #40,contact.40@company-b2b.fr,+33622747738,B2B_PROFESSIONNEL,45036019212,FORF-4G-PRO,Forfait 4G Pro 150 Go,ACTIF,10,2023-03-24,59.99,74.99,15.0,134.8,150.0,89.9,61.59,Paris,75 - Paris,Île-de-France,1,19.0,95.0
