id_equipement_client,id_client,constructeur,modele_terminal,imei,imsi_sim_tag_code,iccid_sim_card,type_carte_sim,compatible_5g,compatible_5g_standalone,annee_commercialisation,date_premiere_connexion_reseau
EQP-00001,CLI-00001,Apple,iPhone 15 Pro 5G,351311855097428,208101663338934,893310771534179913,Nano-SIM Physique,True,True,2025,2023-09-13
EQP-00002,CLI-00002,Cisco,Routeur 5G Pro Industrial,359786631095809,208103520330035,893310108964478843,Nano-SIM Physique,True,True,2023,2023-10-14
EQP-00003,CLI-00003,Xiaomi,Xiaomi 13 Pro 5G,352195851431372,208104197752849,893310910882808335,Nano-SIM Physique,True,False,2023,2024-02-26
EQP-00004,CLI-00004,Xiaomi,Xiaomi 13 Pro 5G,353554774584263,208105718623085,893310934672801561,Nano-SIM Physique,True,False,2025,2024-02-26
EQP-00005,CLI-00005,Samsung,Galaxy S24 Ultra 5G,353588268787017,208105634161035,893310341509827322,Nano-SIM Physique,True,True,2023,2023-09-03
EQP-00006,CLI-00006,Google,Pixel 8 Pro 5G,359461934594939,208106455135994,893310964408076569,eSIM Virtuelle,True,True,2025,2024-05-26
EQP-00007,CLI-00007,Google,Pixel 8 Pro 5G,353134232835895,208105478470503,893310296753023748,eSIM Virtuelle,True,True,2025,2024-06-25
EQP-00008,CLI-00008,Xiaomi,Xiaomi 13 Pro 5G,352358125258776,208103568906046,893310747059854412,Nano-SIM Physique,True,False,2025,2023-01-26
EQP-00009,CLI-00009,Xiaomi,Xiaomi 13 Pro 5G,356696171595991,208104087288737,893310518411371483,eSIM Virtuelle,True,False,2024,2023-11-16
EQP-00010,CLI-00010,Xiaomi,Xiaomi 13 Pro 5G,356504437143328,208109722801839,893310476083265340,Nano-SIM Physique,True,False,2023,2023-11-28
EQP-00011,CLI-00011,Google,Pixel 8 Pro 5G,358884385438637,208103106833317,893310886954368123,eSIM Virtuelle,True,True,2025,2023-06-07
EQP-00012,CLI-00012,Google,Pixel 8 Pro 5G,356793557522416,208107481717910,893310459647209685,eSIM Virtuelle,True,True,2024,2024-03-20
EQP-00013,CLI-00013,Samsung,Galaxy A55 5G,353574479992421,208109418494135,893310597462464997,eSIM Virtuelle,True,False,2023,2024-08-07
EQP-00014,CLI-00014,Samsung,Galaxy S24 Ultra 5G,354071781145100,208109018466295,893310137663480108,eSIM Virtuelle,True,True,2023,2024-02-19
EQP-00015,CLI-00015,Google,Pixel 8 Pro 5G,355303032573360,208108279320276,893310590272948592,eSIM Virtuelle,True,True,2023,2023-08-15
